date,average_price_rs_kg,highest_price_rs_kg,district,grade
2016-03-27,2100.0,2100.0,Hambantota,Alba
2016-04-03,2100.0,2100.0,Hambantota,Alba
2016-04-10,2100.0,2100.0,Hambantota,Alba
2016-04-17,2100.0,2100.0,Hambantota,Alba
2016-04-24,2100.0,2100.0,Hambantota,Alba
2016-05-01,2100.0,2100.0,Hambantota,Alba
2016-05-08,2100.0,2100.0,Hambantota,Alba
2016-05-15,2100.0,2100.0,Hambantota,Alba
2016-05-22,2100.0,2100.0,Hambantota,Alba
2016-05-29,2100.0,2100.0,Hambantota,Alba
2016-06-05,2100.0,2100.0,Hambantota,Alba
2016-06-12,2100.0,2100.0,Hambantota,Alba
2016-12-04,1800.0,1900.0,Gampaha,M-5
2016-12-04,1475.0,1600.0,Gampaha,M-4
2017-04-02,3500.0,3500.0,Badulla,Alba
2017-04-09,3500.0,3500.0,Badulla,Alba
2017-04-16,3500.0,3500.0,Badulla,Alba
2017-04-23,2750.0,3000.0,Badulla,Alba
2017-04-30,3000.0,3000.0,Badulla,Alba
2017-05-07,1630.0,1630.0,Hambantota,M-5
2017-05-14,1630.0,1630.0,Hambantota,M-5
2017-05-21,1630.0,1630.0,Hambantota,M-5
2017-05-28,1630.0,1630.0,Hambantota,M-5
2017-06-04,1630.0,1630.0,Hambantota,M-5
2017-06-11,1630.0,1630.0,Hambantota,M-5
2017-06-11,1500.0,1520.0,Galle,H-Faq
2017-06-18,1500.0,1520.0,Galle,H-Faq
2017-06-18,1630.0,1630.0,Hambantota,M-5
2017-06-25,1500.0,1520.0,Galle,H-Faq
2017-06-25,1630.0,1630.0,Hambantota,M-5
2017-07-02,1500.0,1520.0,Galle,H-Faq
2017-07-02,1630.0,1630.0,Hambantota,M-5
2017-07-09,1500.0,1520.0,Galle,H-Faq
2017-07-09,1630.0,1630.0,Hambantota,M-5
2017-07-16,1500.0,1520.0,Galle,H-Faq
2017-07-16,1630.0,1630.0,Hambantota,M-5
2017-07-23,1500.0,1520.0,Galle,H-Faq
2017-07-23,2200.0,2200.0,Hambantota,M-5
2017-07-30,1500.0,1520.0,Galle,H-Faq
2017-08-06,1500.0,1520.0,Galle,H-Faq
2017-08-13,1500.0,1520.0,Galle,H-Faq
2017-08-20,1500.0,1520.0,Galle,H-Faq
2017-08-27,1600.0,1600.0,Galle,H-Faq
2019-02-10,2200.0,2200.0,Hambantota,C-5 Sp
2019-02-17,2200.0,2200.0,Hambantota,C-5 Sp
2019-02-24,1700.0,1700.0,Colombo,M-4
2019-02-24,2200.0,2200.0,Hambantota,C-5 Sp
2019-02-24,1750.0,1750.0,Colombo,M-5
2019-03-03,2200.0,2200.0,Hambantota,C-5 Sp
2019-03-10,2200.0,2200.0,Hambantota,C-5 Sp
2019-03-17,2200.0,2200.0,Hambantota,C-5 Sp
2019-03-24,2200.0,2200.0,Hambantota,C-5 Sp
2019-03-31,2200.0,2200.0,Hambantota,C-5 Sp
2019-04-07,2200.0,2200.0,Hambantota,C-5 Sp
2019-04-14,2200.0,2200.0,Hambantota,C-5 Sp
2019-04-21,2200.0,2200.0,Hambantota,C-5 Sp
2019-04-28,2200.0,2200.0,Hambantota,C-5 Sp
2019-09-15,1000.0,1000.0,Colombo,Gorosu
2019-09-22,1000.0,1000.0,Colombo,Gorosu
2019-09-29,1000.0,1000.0,Colombo,Gorosu
2019-10-06,1000.0,1000.0,Colombo,Gorosu
2019-10-13,1000.0,1000.0,Colombo,Gorosu
2019-10-20,1000.0,1000.0,Colombo,Gorosu
2019-10-27,1000.0,1000.0,Colombo,Gorosu
2019-11-03,1000.0,1000.0,Colombo,Gorosu
2019-11-10,1000.0,1000.0,Colombo,Gorosu
2019-11-17,700.0,800.0,Colombo,Gorosu
2019-11-17,1267.0,1600.0,Colombo,Heen
2020-11-22,1530.0,1540.0,Galle,M-4
2020-11-22,1555.0,1560.0,Galle,M-5
2020-11-29,1555.0,1560.0,Galle,M-5
2020-11-29,1530.0,1540.0,Galle,M-4
2020-12-06,1555.0,1560.0,Galle,M-5
2020-12-06,1530.0,1540.0,Galle,M-4
2020-12-13,1530.0,1540.0,Galle,M-4
2020-12-13,1555.0,1560.0,Galle,M-5
2020-12-20,1530.0,1540.0,Galle,M-4
2020-12-20,1555.0,1560.0,Galle,M-5
2020-12-27,1530.0,1540.0,Galle,M-4
2020-12-27,1555.0,1560.0,Galle,M-5
2021-01-03,1555.0,1560.0,Galle,M-5
2021-01-03,1530.0,1540.0,Galle,M-4
2021-01-10,1555.0,1560.0,Galle,M-5
2021-01-10,1530.0,1540.0,Galle,M-4
2021-01-17,1530.0,1540.0,Galle,M-4
2021-01-17,1555.0,1560.0,Galle,M-5
2021-01-24,1555.0,1560.0,Galle,M-5
2021-01-24,1530.0,1540.0,Galle,M-4
2021-01-31,1530.0,1540.0,Galle,M-4
2021-01-31,1555.0,1560.0,Galle,M-5
2021-02-07,2250.0,2280.0,Galle,M-5
2021-02-07,2225.0,2250.0,Galle,M-4
2021-10-24,1580.0,1700.0,Gampaha,Heen
2022-04-10,2383.0,2400.0,Badulla,H-Faq
2022-04-10,3000.0,3000.0,Kurunegala,H-Faq
2022-06-19,2750.0,3000.0,Matara,Gorosu
2023-05-28,3050.0,3200.0,Ratnapura,M-4
2023-05-28,3050.0,3200.0,Ratnapura,M-5
2023-06-04,2900.0,3000.0,Ratnapura,M-4
2023-06-04,1033.0,1200.0,Kurunegala,H-1
2023-06-04,2900.0,3000.0,Ratnapura,M-5
2023-06-11,1033.0,1200.0,Kurunegala,H-1
2023-06-11,2716.0,2750.0,Ratnapura,M-4
2023-06-11,2710.0,2750.0,Ratnapura,M-5
2023-06-18,2738.0,2800.0,Ratnapura,M-5
2023-06-18,1033.0,1200.0,Kurunegala,H-1
2023-06-18,2738.0,2800.0,Ratnapura,M-4
2023-06-25,2866.0,3000.0,Ratnapura,M-4
2023-06-25,1033.0,1200.0,Kurunegala,H-1
2023-06-25,2866.0,3000.0,Ratnapura,M-5
2023-07-02,2816.0,2850.0,Ratnapura,M-5
2023-07-02,2816.0,2850.0,Ratnapura,M-4
2023-07-02,1033.0,1200.0,Kurunegala,H-1
2023-07-09,1033.0,1200.0,Kurunegala,H-1
2023-07-09,2750.0,2800.0,Ratnapura,M-4
2023-07-09,2750.0,2800.0,Ratnapura,M-5
2023-07-16,1033.0,1200.0,Kurunegala,H-1
2023-07-16,2833.0,2900.0,Ratnapura,M-5
2023-07-16,2833.0,2900.0,Ratnapura,M-4
2023-07-23,2450.0,2500.0,Ratnapura,M-4
2023-07-23,2450.0,2500.0,Ratnapura,M-5
2023-07-23,1033.0,1200.0,Kurunegala,H-1
2023-07-30,2916.0,2950.0,Ratnapura,M-5
2023-07-30,2916.0,2950.0,Ratnapura,M-4
2023-07-30,1033.0,1200.0,Kurunegala,H-1
2023-08-06,2433.0,2500.0,Ratnapura,M-5
2023-08-06,1033.0,1200.0,Kurunegala,H-1
2023-08-06,2433.0,2500.0,Ratnapura,M-4
